Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17
Balatonszárszó,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Balatonszemes,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Balatonszentgyörgy,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Balatonszepezd,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonszőlős,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonudvari,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Balatonújlak,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Balatonvilágos,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Balinka,Fejér megye,Fejér megye 2. számú egyéni választókerület,Székesfehérvár,"2","2","188213.17","882699117.23",,,,,,,,,
Balkány,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,Nyírbátor,"6","6","252712.99","1327233312.92",,,,,,,,,
Ballószög,Bács-Kiskun megye,Bács-Kiskun megye 2. számú egyéni választókerület,Kecskemét,"2","2","183749.25","615605074.37",,,,,,,,,
Balmazújváros,Hajdú-Bihar megye,Hajdú-Bihar megye 6. számú egyéni választókerület,Hajdúböszörmény,"6","6","210118.42","1320118769.78",,,,,,,,,
Balogunyom,Vas megye,Vas megye 1. számú egyéni választókerület,Szombathely,"1","1","94712.08","228249027.58",,,,,,,,,
Balotaszállás,Bács-Kiskun megye,Bács-Kiskun megye 5. számú egyéni választókerület,Kiskunhalas,"5","5","260428.06","1888189855.92",,,,,,,,,
Balsa,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,Nyíregyháza,"2","2","237283.37","1045674689.21",,,,,,,,,
Bálványos,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Bana,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Bánd,Veszprém megye,Veszprém megye 1. számú egyéni választókerület,Veszprém,"1","1","195803.99","767050984.35",,,,,,,,,
Bánfa,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Bánhorváti,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Bánk,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Bánokszentgyörgy,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Bánréve,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Bár,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Barabás,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Baracs,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Baracska,Fejér megye,Fejér megye 3. számú egyéni választókerület,Bicske,"3","3","219689.81","1205529615.78",,,,,,,,,
Báránd,Hajdú-Bihar megye,Hajdú-Bihar megye 5. számú egyéni választókerület,Hajdúszoboszló,"5","5","268216.99","1790319545.19",,,,,,,,,
Baranyahídvég,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Baranyajenő,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Baranyaszentgyörgy,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Barbacs,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Barcs,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Bárdudvarnok,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Barlahida,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Bárna,Nógrád megye,Nógrád megye 1. számú egyéni választókerület,Salgótarján,"1","1","245875.8","952705607.42",,,,,,,,,
Barnag,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Bársonyos,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Basal,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Baskó,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Báta,Tolna megye,Tolna megye 1. számú egyéni választókerület,Szekszárd,"1","1","183808.64","836435692.1",,,,,,,,,
Bátaapáti,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Bátaszék,Tolna megye,Tolna megye 1. számú egyéni választókerület,Szekszárd,"1","1","183808.64","836435692.1",,,,,,,,,
Baté,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Bátmonostor,Bács-Kiskun megye,Bács-Kiskun megye 6. számú egyéni választókerület,Baja,"6","6","277807.08","1428092680.64",,,,,,,,,
Bátonyterenye,Nógrád megye,Nógrád megye 1. számú egyéni választókerület,Salgótarján,"1","1","245875.8","952705607.42",,,,,,,,,
Bátor,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Bátorliget,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,Nyírbátor,"6","6","252712.99","1327233312.92",,,,,,,,,
Battonya,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Bátya,Bács-Kiskun megye,Bács-Kiskun megye 3. számú egyéni választókerület,Kalocsa,"3","3","241811.87","1478945666.42",,,,,,,,,
Batyk,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Bázakerettye,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Bazsi,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Béb,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Becsehely,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Becske,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Becskeháza,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Becsvölgye,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Bedegkér,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Bedő,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Bejcgyertyános,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Békás,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Bekecs,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Békés,Békés megye,Békés megye 2. számú egyéni választókerület,Békés,"2","2","301741.74","1712972309.7",,,,,,,,,
Békéscsaba,Békés megye,Békés megye 1. számú egyéni választókerület,Békéscsaba,"1","1","172584.94","714024939.51",,,,,,,,,
Békéssámson,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Békésszentandrás,Békés megye,Békés megye 2. számú egyéni választókerület,Békés,"2","2","301741.74","1712972309.7",,,,,,,,,
Bekölce,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Bélapátfalva,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Bélavár,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Belecska,Tolna megye,Tolna megye 3. számú egyéni választókerület,Paks,"3","3","323996.54","1491048132.2",,,,,,,,,
Beled,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Beleg,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Belegrád,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Belezna,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Bélmegyer,Békés megye,Békés megye 3. számú egyéni választókerület,Gyula,"3","3","346829.19","1552084181.41",,,,,,,,,
Beloiannisz,Fejér megye,Fejér megye 3. számú egyéni választókerület,Bicske,"3","3","219689.81","1205529615.78",,,,,,,,,
Belsősárd,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Belvárdgyula,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Benk,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Bénye,Pest megye,Pest megye 10. számú egyéni választókerület,Monor,"10","10","174608.84","822113260.42",,,,,,,,,
Bér,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Bérbaltavár,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Bercel,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Beregdaróc,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Beregsurány,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Berekböszörmény,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Berekfürdő,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Beremend,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Berente,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Beret,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Berettyóújfalu,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Berhida,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Berkenye,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Berkesd,Baranya megye,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57",,,,,,,,,
Berkesz,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Bernecebaráti,Pest megye,Pest megye 4. számú egyéni választókerület,Vác,"4","4","203058.39","789686669.4",,,,,,,,,
Berzék,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Berzence,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Besence,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Besenyőd,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,Mátészalka,"5","5","250856.48","1030794528.1",,,,,,,,,
Besenyőtelek,Heves megye,Heves megye 1. számú egyéni választókerület,Eger,"1","1","217370.11","1044337089.15",,,,,,,,,
Besenyszög,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 1. számú egyéni választókerület,Szolnok,"1","1","202023.51","704327243.22",,,,,,,,,
Besnyő,Fejér megye,Fejér megye 3. számú egyéni választókerület,Bicske,"3","3","219689.81","1205529615.78",,,,,,,,,
Beszterec,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Bezedek,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Bezenye,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 5. számú egyéni választókerület,Mosonmagyaróvár,"5","5","192506.63","1106619646.19",,,,,,,,,
Bezeréd,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Bezi,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Biatorbágy,Pest megye,Pest megye 2. számú egyéni választókerület,Budakeszi,"2","2","121726.3","363371498.49",,,,,,,,,
Bicsérd,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Bicske,Fejér megye,Fejér megye 3. számú egyéni választókerület,Bicske,"3","3","219689.81","1205529615.78",,,,,,,,,
Bihardancsháza,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Biharkeresztes,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Biharnagybajom,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Bihartorda,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Biharugra,Békés megye,Békés megye 3. számú egyéni választókerület,Gyula,"3","3","346829.19","1552084181.41",,,,,,,,,
Bikács,Tolna megye,Tolna megye 3. számú egyéni választókerület,Paks,"3","3","323996.54","1491048132.2",,,,,,,,,
Bikal,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Biri,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,Nyírbátor,"6","6","252712.99","1327233312.92",,,,,,,,,
Birján,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Bisse,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Boba,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Bocfölde,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Boconád,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Bócsa,Bács-Kiskun megye,Bács-Kiskun megye 4. számú egyéni választókerület,Kiskunfélegyháza,"4","4","324422.08","1876316923.88",,,,,,,,,
Bocska,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Bocskaikert,Hajdú-Bihar megye,Hajdú-Bihar megye 3. számú egyéni választókerület,Debrecen,"3","3","234223.12","904774489.06",,,,,,,,,
Boda,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Bodajk,Fejér megye,Fejér megye 2. számú egyéni választókerület,Székesfehérvár,"2","2","188213.17","882699117.23",,,,,,,,,
Bodmér,Fejér megye,Fejér megye 3. számú egyéni választókerület,Bicske,"3","3","219689.81","1205529615.78",,,,,,,,,
Bodolyabér,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Bodonhely,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Bodony,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Bodorfa,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
